time,v_c(20),v_c(50),v_c(80),v_c(100),G_i(20),G_i(50),G_i(80),G_i(100),Na_i(20),Na_i(50),Na_i(80),Na_i(100),Cl_i(20),Cl_i(50),Cl_i(80),Cl_i(100),J_W_A(20),J_W_A(50),J_W_A(80),J_W_A(100),Cl_i(20)-A,Cl_i(50)-A,Cl_i(80)-A,Cl_i(100)-A,Na_i(20)-A,Na_i(50)-A,Na_i(80)-A,Na_i(100)-A,G_i(20)-A,G_i(50)-A,G_i(80)-A,G_i(100)-A,v_c(20)-A,v_c(50)-A,v_c(80)-A,v_c(100)-A,J_W_A(20)-A,J_W_A(50)-A,J_W_A(80)-A,J_W_A(100)-A
2100,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.7811,17.5905,32.0264,41.1054,48.6581,51.3328,49.5527,48.8435,58.5713,61.5607,61.1677,59.6975,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.9367,60.6023,57.9316,55.4115,54.8461,52.6089,53.5398,54.3219,18.1514,12.8422,15.2143,17.0008,1.37E-15,1.88E-15,1.65E-15,1.47E-15,5.75E-07,9.48E-09,2.35E-07,4.44E-07
2200,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.8069,17.5904,32.0299,41.1214,48.6584,51.3359,49.5445,48.8386,58.5753,61.5562,61.1823,59.7082,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.8476,60.5756,57.867,55.3277,54.938,52.6278,53.5929,54.4014,18.1466,12.8423,15.2127,16.9972,1.37E-15,1.88E-15,1.65E-15,1.47E-15,5.75E-07,9.48E-09,2.35E-07,4.44E-07
2300,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8276,17.5904,32.0326,41.1341,48.6578,51.3387,49.5367,48.8337,58.5796,61.552,61.1957,59.7183,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.7698,60.5513,57.8092,55.2538,55.0188,52.6449,53.6406,54.4719,18.1423,12.8422,15.211,16.9938,1.36E-15,1.88E-15,1.65E-15,1.47E-15,5.75E-07,9.47E-09,2.35E-07,4.44E-07
2400,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8444,17.5904,32.0349,41.1443,48.6566,51.3413,49.5295,48.8288,58.5841,61.5481,61.2079,59.7278,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.7019,60.5291,57.7573,55.1887,55.0898,52.6605,53.6836,54.5344,18.1384,12.8421,15.2095,16.9907,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.47E-09,2.35E-07,4.44E-07
2500,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8579,17.5904,32.0368,41.1525,48.6551,51.3436,49.5228,48.8241,58.5885,61.5445,61.2192,59.7366,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.6425,60.5089,57.7107,55.1312,55.1521,52.6748,53.7222,54.5898,18.1349,12.842,15.208,16.9879,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.46E-09,2.35E-07,4.44E-07
2600,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8689,17.5903,32.0383,41.1591,48.6533,51.3458,49.5166,48.8195,58.5928,61.5413,61.2294,59.7447,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.5907,60.4904,57.669,55.0805,55.2068,52.6878,53.7569,54.6388,18.1318,12.8419,15.2066,16.9854,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.46E-09,2.35E-07,4.44E-07
2700,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8778,17.5903,32.0395,41.1645,48.6513,51.3477,49.5109,48.8151,58.597,61.5383,61.2389,59.7523,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.5455,60.4736,57.6317,55.0357,55.2547,52.6997,53.7882,54.6823,18.129,12.8418,15.2053,16.9831,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.46E-09,2.35E-07,4.44E-07
2800,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.885,17.5903,32.0406,41.1688,48.6492,51.3496,49.5056,48.8109,58.601,61.5356,61.2475,59.7593,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.506,60.4582,57.5982,54.9963,55.2967,52.7105,53.8163,54.7208,18.1266,12.8416,15.2041,16.9811,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.45E-09,2.35E-07,4.44E-07
2900,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8909,17.5903,32.0414,41.1724,48.6472,51.3512,49.5007,48.8071,58.6048,61.5331,61.2554,59.7657,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.4715,60.4442,57.5682,54.9614,55.3334,52.7204,53.8415,54.7548,18.1245,12.8414,15.203,16.9793,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.45E-09,2.35E-07,4.44E-07
3000,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8958,17.5902,32.0422,41.1753,48.6452,51.3527,49.4963,48.8034,58.6083,61.5307,61.2626,59.7716,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.4413,60.4315,57.5413,54.9307,55.3656,52.7294,53.8641,54.7849,18.1226,12.8412,15.202,16.9777,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.45E-09,2.35E-07,4.44E-07
3100,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.8999,17.5902,32.0428,41.1778,48.6432,51.3541,49.4922,48.8001,58.6116,61.5286,61.2693,59.777,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.415,60.4198,57.5172,54.9036,55.3938,52.7376,53.8844,54.8115,18.121,12.841,15.2011,16.9763,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
3200,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.9033,17.5902,32.0435,41.1799,48.6414,51.3553,49.4884,48.797,58.6147,61.5266,61.2753,59.782,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.392,60.4092,57.4956,54.8797,55.4185,52.745,53.9027,54.835,18.1195,12.841,15.2004,16.975,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
3300,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.9061,17.5901,32.0441,41.1817,48.6396,51.3564,49.485,48.7941,58.6176,61.5248,61.2809,59.7865,5.70E-07,7.18E-09,2.30E-07,4.40E-07,53.3719,60.3995,57.4762,54.8587,55.4401,52.7519,53.9191,54.8558,18.1183,12.8409,15.1996,16.9739,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
3400,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.9084,17.5901,32.0446,41.1832,48.638,51.3574,49.4818,48.7915,58.6202,61.5231,61.286,59.7906,5.70E-07,7.17E-09,2.30E-07,4.40E-07,53.3544,60.3907,57.4589,54.8401,55.4589,52.7581,53.9337,54.8741,18.1172,12.8408,15.199,16.9729,1.36E-15,1.88E-15,1.65E-15,1.46E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
3500,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.9103,17.5901,32.0451,41.1844,48.6364,51.3584,49.4789,48.789,58.6226,61.5216,61.2906,59.7944,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.3391,60.3827,57.4433,54.8238,55.4755,52.7638,53.9469,54.8903,18.1162,12.8406,15.1984,16.972,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
3600,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.9119,17.59,32.0455,41.1855,48.635,51.3592,49.4762,48.7868,58.6248,61.5202,61.2949,59.7979,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.3257,60.3754,57.4294,54.8094,55.4899,52.769,53.9587,54.9046,18.1154,12.8405,15.1978,16.9712,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
3700,1.58E-15,1.95E-15,1.84E-15,1.69E-15,45.9133,17.59,32.0459,41.1864,48.6337,51.36,49.4738,48.7848,58.6269,61.5189,61.2988,59.801,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.314,60.3687,57.4169,54.7967,55.5025,52.7737,53.9693,54.9171,18.1146,12.8404,15.1974,16.9706,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
3800,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9143,17.59,32.0462,41.1872,48.6324,51.3608,49.4716,48.7829,58.6288,61.5177,61.3024,59.8039,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.3038,60.3626,57.4058,54.7855,55.5135,52.778,53.9788,54.9282,18.114,12.8403,15.197,16.97,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
3900,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9152,17.59,32.0465,41.1878,48.6313,51.3615,49.4695,48.7812,58.6305,61.5167,61.3057,59.8065,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2949,60.3571,57.3958,54.7756,55.5232,52.782,53.9874,54.938,18.1134,12.8403,15.1966,16.9694,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4000,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.916,17.59,32.0467,41.1884,48.6302,51.3621,49.4676,48.7796,58.6321,61.5157,61.3087,59.8089,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2871,60.352,57.3868,54.7669,55.5316,52.7856,53.995,54.9467,18.1129,12.8402,15.1962,16.969,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4100,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9166,17.59,32.0469,41.1889,48.6292,51.3627,49.4659,48.7781,58.6335,61.5148,61.3115,59.8111,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2803,60.3474,57.3787,54.7592,55.539,52.7888,54.0018,54.9543,18.1125,12.8401,15.1959,16.9685,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4200,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9172,17.59,32.0471,41.1894,48.6284,51.3632,49.4643,48.7768,58.6348,61.514,61.314,59.8131,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2744,60.3432,57.3715,54.7525,55.5454,52.7918,54.008,54.961,18.1121,12.84,15.1957,16.9682,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4300,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9177,17.59,32.0473,41.1899,48.6275,51.3637,49.4629,48.7756,58.636,61.5133,61.3163,59.8149,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2692,60.3394,57.3651,54.7465,55.551,52.7945,54.0135,54.9669,18.1118,12.8399,15.1954,16.9679,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4400,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9182,17.59,32.0474,41.1903,48.6268,51.3642,49.4616,48.7746,58.637,61.5126,61.3184,59.8166,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2646,60.3359,57.3593,54.7412,55.556,52.797,54.0184,54.9722,18.1115,12.8399,15.1952,16.9676,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4500,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9186,17.5899,32.0476,41.1907,48.6261,51.3646,49.4604,48.7736,58.638,61.512,61.3203,59.8181,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2606,60.3327,57.3541,54.7366,55.5603,52.7992,54.0228,54.9768,18.1113,12.8399,15.195,16.9673,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4600,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.919,17.5899,32.0478,41.191,48.6256,51.3649,49.4593,48.7727,58.6388,61.5114,61.3221,59.8194,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2571,60.3298,57.3495,54.7325,55.5642,52.8013,54.0268,54.9809,18.1111,12.8399,15.1948,16.9671,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.43E-09,2.35E-07,4.44E-07
4700,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9194,17.5899,32.0479,41.1913,48.625,51.3653,49.4583,48.7719,58.6396,61.5108,61.3237,59.8207,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2541,60.3271,57.3453,54.7289,55.5674,52.8032,54.0304,54.9844,18.1108,12.8399,15.1946,16.9669,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
4800,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9197,17.5899,32.0481,41.1916,48.6245,51.3656,49.4573,48.7711,58.6403,61.5103,61.3252,59.8218,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2515,60.3247,57.3416,54.7257,55.5703,52.8049,54.0335,54.9876,18.1107,12.8398,15.1945,16.9667,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
4900,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9199,17.5899,32.0483,41.1918,48.6241,51.3658,49.4565,48.7705,58.641,61.5099,61.3266,59.8228,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2493,60.3225,57.3382,54.7229,55.5727,52.8065,54.0364,54.9904,18.1105,12.8398,15.1943,16.9666,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5000,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9202,17.5899,32.0485,41.192,48.6237,51.3661,49.4557,48.7698,58.6416,61.5095,61.3278,59.8237,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2474,60.3205,57.3352,54.7205,55.5748,52.8079,54.039,54.9929,18.1104,12.8397,15.1942,16.9665,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5099,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9204,17.5899,32.0486,41.1921,48.6233,51.3663,49.455,48.7693,58.6421,61.5091,61.329,59.8246,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2456,60.3187,57.3326,54.7183,55.5767,52.8091,54.0412,54.995,18.1103,12.8397,15.1941,16.9664,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5200,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9205,17.5899,32.0488,41.1923,48.623,51.3666,49.4543,48.7688,58.6426,61.5088,61.3301,59.8254,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.244,60.317,57.3302,54.7164,55.5784,52.8103,54.0433,54.9969,18.1102,12.8396,15.194,16.9662,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5301,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9206,17.5899,32.0489,41.1924,48.6227,51.3668,49.4537,48.7683,58.6431,61.5084,61.331,59.8261,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2427,60.3155,57.328,54.7147,55.5799,52.8114,54.0452,54.9986,18.1101,12.8396,15.194,16.9662,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5402,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9208,17.5899,32.0489,41.1925,48.6224,51.367,49.4532,48.7678,58.6434,61.5081,61.3319,59.8267,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2415,60.3141,57.3261,54.7132,55.5811,52.8124,54.0468,55.0001,18.11,12.8396,15.1939,16.9661,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5503,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.9209,17.5899,32.049,41.1926,48.6221,51.3671,49.4527,48.7675,58.6438,61.5079,61.3327,59.8273,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2405,60.3129,57.3243,54.7119,55.5823,52.8133,54.0483,55.0015,18.11,12.8396,15.1938,16.966,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
5604,1.58E-15,1.95E-15,1.85E-15,1.69E-15,45.921,17.5899,32.049,41.1927,48.6219,51.3673,49.4522,48.7671,58.6441,61.5076,61.3335,59.8278,5.70E-07,7.17E-09,2.31E-07,4.40E-07,53.2396,60.3117,57.3228,54.7107,55.5832,52.8142,54.0496,55.0026,18.1099,12.8396,15.1938,16.9659,1.36E-15,1.88E-15,1.64E-15,1.46E-15,5.75E-07,9.42E-09,2.35E-07,4.44E-07
